Pulse Number,Top Level (dBm),Base Level (dBm),Top/Base (dB),Droop (dB),Overshoot (dB),Ripple (dB),Rise Time (sec),Rise Edge (sec),Fall Time (sec),Fall Edge (sec),Width (sec),PRI (sec),Duty Cycle (%),Freq Mean (Hz),Freq Error RMS (Hz),Phase Mean (deg),Phase Error RMS (deg),Modulation,
1,-2.642323,-56.46558,53.82326,-0.1711936,-0.1716787,0.117634,1.015531E-07,0,1.049422E-07,3.999552E-05,3.999552E-05,0.0003590224,11.14012,43.91974,1661.385,78.31066,0.6689583,0,
2,-2.635744,-54.89289,52.25714,-0.1860402,0.3332051,0.115004,1.361488E-07,0.0003590224,1.287857E-07,0.0003990139,3.999149E-05,0.0003590272,11.13885,-21.13371,1456.954,78.08253,0.421675,0,
3,-2.632917,-54.92343,52.29052,-0.1689005,0.4223536,0.128259,1.358174E-07,0.0007180496,1.331716E-07,0.0007580357,3.998615E-05,0.0003590216,11.13754,-94.23345,1578.014,78.10782,0.6006542,0,
4,-2.624325,-57.21927,54.59494,-0.1667678,0.3700411,0.1318043,1.310533E-07,0.001077071,1.316372E-07,0.001117065,3.999333E-05,0.0003590231,11.13949,-33.89156,2102.374,78.21984,0.5634027,0,
5,-2.635877,-53.41022,50.77434,-0.1622822,0.06177154,0.1560031,1.086625E-07,0.001436094,7.437591E-08,0.001476088,3.999375E-05,0.0003590334,11.13928,-1.883852,1926.189,77.92145,0.6269916,0,
6,-2.621308,-56.09067,53.46936,-0.1808989,-0.1257897,0.1138023,8.449513E-08,0.001795128,7.791793E-08,0.001835121,3.999316E-05,0.0003590244,11.1394,-85.76649,1737.173,78.10642,0.4960024,0,
7,-2.64213,-55.05605,52.41392,-0.1624489,0.07022972,0.1239456,1.286659E-07,0.002154152,1.210544E-07,0.002194148,3.99957E-05,0.0003590298,11.13994,-18.23773,1687.49,78.1077,0.5477847,0,
8,-2.669393,-56.94803,54.27864,-0.1857922,0.3803752,0.1205445,1.361653E-07,0.002513182,1.286797E-07,0.002553174,3.999243E-05,0.0003590277,11.13909,-2.249819,1820.804,77.93902,0.6690137,0,
9,-2.634375,-55.88338,53.24901,-0.1599612,0.4178263,0.1385693,1.349785E-07,0.00287221,1.334476E-07,0.002912196,3.998658E-05,0.0003590107,11.13799,-14.69871,1385.659,78.18793,0.3729502,0,
10,-2.640023,-56.50647,53.86644,-0.1691246,0.2541281,0.1367937,1.229088E-07,0.00323122,1.181868E-07,0.003271215,3.999517E-05,0.0003590339,11.13966,51.1945,1512.637,78.19521,0.5563043,0,
